Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),PowerConsumption,DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s)
ResidualBlock-in_136x14x14-out_192-k_7-e_6-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.152970282,0.710562435,1.254854827,0.014685417,8.324087623,0.797005933,899.7877276
ResidualBlock-in_24x112x112-out_24-k_7-e_1-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.401810098,1.242567296,1.362322155,0.041641548,3.905339199,0.91496032,836.6769426
ResidualBlock-in_48x28x28-out_48-k_5-e_3-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,1.351557643,0.47231783,1.54476362,0.045665214,10.96160373,0.700024656,148.121
Linear_in-1536_out-1000,500,DPUCZDX8G_1:batch-1,1.710624668,0.91449216,1.725082069,0.048699534,17.64186731,0.939531516,1089.932211
ResidualBlock-in_24x112x112-out_32-k_7-e_4-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.676625603,1.07550033,0.915437813,0.051137959,13.93789545,1.04480844,843.7677693
ResidualBlock-in_136x14x14-out_192-k_3-e_4-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.536268557,1.385363764,2.217431862,0.067759015,13.25004918,0.11,437.5751577
ResidualBlock-in_32x56x56-out_32-k_7-e_6-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.152838182,1.659635636,1.511434227,0.097396194,11.8047649,0.538518747,616.7830531
ResidualBlock-in_32x56x56-out_32-k_3-e_4-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.694817232,1.362293543,2.207916684,0.03521851,6.255534985,0.399160483,821.75288
ResidualBlock-in_48x28x28-out_48-k_7-e_6-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,1.110825537,1.377186331,0.486,0.02408001,16.47213328,0.680842093,1056.240924
ResidualBlock-in_136x14x14-out_136-k_7-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.769256178,0.694048904,1.899440742,0.099367713,15.64079857,0.88713425,795.2872001
ResidualBlock-in_96x14x14-out_136-k_5-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.654687093,0.827879799,0.552243715,0.055278479,12.84364314,0.134507428,828.6514457
ResidualBlock-in_32x56x56-out_32-k_3-e_4-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.440409172,0.731224467,0.936785641,0.107452693,19.45184672,0.794593008,1404.455626
ResidualBlock-in_32x56x56-out_32-k_7-e_4-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.992663588,0.897297531,1.245394545,0.036390667,16.43755388,0.77496935,148.121
ResidualBlock-in_32x56x56-out_48-k_7-e_3-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.356682723,1.096161253,1.468603144,0.058783619,11.67104828,0.984458215,860.8371813
ResidualBlock-in_48x28x28-out_48-k_7-e_3-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,1.104625069,0.894365554,2.120872195,0.032438109,3.649612879,0.754958919,932.0326979
ResidualBlock-in_96x14x14-out_96-k_7-e_4-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.5972134,2.071789253,1.490772466,0.07466369,0.73,0.412242574,738.5581684
ResidualBlock-in_96x14x14-out_136-k_7-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.711466043,1.134692098,1.079545951,0.023352599,9.530739442,0.916508927,494.8196545
ResidualBlock-in_32x56x56-out_32-k_7-e_4-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.767182093,0.820433159,1.722083006,0.06174683,10.843184,0.11,193.9103821
